idx,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,votes,avg,std
0,9,18,40,66,122,144,102,68,23,15,607,5.7957,1.8398
1,9,10,20,69,115,198,365,535,273,165,1759,7.4304,1.6791
2,15,11,22,61,118,402,1015,2034,1083,429,5190,7.8541,1.3191
3,47,36,60,103,166,388,748,1889,2819,3697,9953,8.6967,1.5306
4,21,20,43,60,138,302,660,1762,2690,2475,8171,8.6413,1.4047
5,3,2,11,26,38,51,47,28,3,2,211,5.8768,1.6332
6,37,26,48,110,191,548,1428,2940,2724,1571,9623,8.1740,1.4331
7,0,3,6,16,36,89,109,52,23,6,340,6.6118,1.4295
8,10,20,33,67,140,343,454,352,194,123,1736,6.9960,1.7189
9,23,26,47,144,270,675,1374,1851,984,440,5834,7.5204,1.5183
10,108,48,100,160,239,556,1368,3664,5216,4954,16413,8.5936,1.5029
11,15,23,40,92,134,267,569,764,466,240,2610,7.4751,1.7047
12,14,9,21,42,51,163,361,858,711,620,2850,8.2407,1.5338
13,91,110,173,245,373,652,902,710,368,260,3884,6.5636,2.0875
14,3,14,11,31,40,106,139,133,44,13,534,6.7172,1.7105
15,0,0,0,0,4,14,17,10,4,1,50,6.9800,1.1400
16,22,27,46,101,178,383,825,1809,2162,2313,7866,8.4720,1.5309
17,1,2,0,4,6,23,42,29,11,10,128,7.1406,1.6044
18,0,1,1,6,15,31,65,58,34,25,236,7.4788,1.5278
19,2,2,13,18,41,135,236,318,119,52,936,7.3921,1.4282
20,0,5,7,9,19,52,71,110,38,22,333,7.2462,1.6310
21,5,6,8,19,41,92,172,216,105,48,712,7.3469,1.6195
22,1,1,0,5,6,25,32,55,37,21,183,7.7049,1.5787
23,74,29,73,102,141,318,663,1942,3244,4902,11488,8.8584,1.4962
24,1,1,1,1,0,6,11,26,9,2,58,7.4483,1.6627
25,2,3,4,11,20,77,105,168,121,47,558,7.6416,1.5336
26,20,43,75,165,309,724,1165,699,293,99,3592,6.7522,1.5813
27,5,7,10,27,90,234,392,474,224,87,1550,7.3761,1.4560
28,1,2,11,25,60,103,134,102,65,28,531,6.9209,1.6472
29,13,48,66,131,212,254,174,83,37,9,1027,5.5696,1.7695
30,1,1,5,5,10,28,51,41,15,9,166,7.0241,1.6205
31,7,14,18,68,109,368,807,1242,698,327,3658,7.7231,1.4195
32,14,14,35,101,188,603,1445,2609,1693,759,7461,7.8975,1.3640
33,5,10,14,40,88,202,258,176,69,17,879,6.6940,1.5422
34,9,11,23,52,62,224,446,737,472,292,2328,7.7955,1.5629
35,5,2,3,5,8,36,55,120,93,43,370,7.8541,1.6441
36,5,3,11,32,46,123,279,701,595,321,2116,8.1597,1.4004
37,2,5,4,15,37,76,104,48,18,12,321,6.6012,1.5757
38,1,8,10,20,24,47,40,19,6,1,176,5.8239,1.7313
39,1,4,8,17,9,8,5,4,1,3,60,5.0000,2.0656
40,3,2,4,10,10,8,6,3,2,2,50,5.2200,2.1475
41,12,33,59,90,129,199,106,57,30,13,728,5.5659,1.8616
42,16,31,68,157,302,727,1352,1557,876,340,5426,7.3693,1.5578
43,2,4,8,6,19,51,127,257,186,72,732,7.9208,1.4360
44,4,12,29,67,136,308,344,248,122,44,1314,6.7283,1.6081
45,7,18,26,65,133,381,821,978,382,145,2956,7.3718,1.4269
46,0,2,1,2,12,29,52,33,10,8,149,7.0268,1.4328
47,5,11,20,64,218,485,737,298,77,43,1958,6.6440,1.3280
48,8,13,31,60,102,296,753,1593,1224,813,4893,8.1369,1.4177
49,5,7,19,43,65,167,253,202,103,46,910,6.9769,1.6577
50,2,5,14,29,51,108,156,96,47,15,523,6.7036,1.6168
51,18,40,40,46,112,132,120,42,42,32,624,5.8141,2.1567
52,4,8,14,35,63,92,109,74,33,8,440,6.3659,1.7373
53,2,1,5,4,11,6,3,3,0,1,36,5.0278,1.9363
54,0,4,5,19,14,40,50,20,5,4,161,6.2360,1.6324
55,12,16,29,70,112,307,855,2054,2033,696,6184,8.1641,1.3185
56,3,11,18,33,23,25,15,2,0,1,131,4.6336,1.6633
57,0,1,4,11,13,15,7,4,0,0,55,5.3455,1.4041
58,3,6,12,29,28,31,40,21,6,8,184,5.8424,1.9842
59,0,2,2,8,17,35,50,34,15,9,172,6.8837,1.5805
60,3,3,8,7,6,8,1,0,2,1,39,4.4615,2.0982
61,2,1,1,9,6,4,2,5,3,1,34,5.5294,2.2653
62,1,2,13,41,58,120,115,76,41,12,479,6.5136,1.6152
63,2,1,0,1,1,4,15,9,8,1,42,7.0476,1.9755
64,30,34,56,109,162,334,651,1174,1072,639,4261,7.8627,1.7353
65,34,20,32,54,112,275,739,2389,2976,2274,8905,8.5800,1.3393
