idx,vid,appear,total,percentage,simple,weighted_simple,pagerank,elo,entropy,title_ja,title_en,title_zh,alias,search,c_votecount,c_rating,c_average,rank
873,v2002,6989,52.7512,0.7469,0.9851,5.9767,11015.0024,1960.7271,0.6587,STEINS;GATE,Steins;Gate,命运石之门,,STEINS;GATE Steins;Gate 命运石之门 ,14407,9.0100,9.0100,1
1879,v7771,6104,24.5303,0.6446,0.9576,4.5899,8672.5262,2595.6551,0.5701,WHITE ALBUM2,,白色相簿2,,WHITE ALBUM2  白色相簿2 ,3462,9.0100,9.0100,2
4598,v20802,5338,10.3192,0.5370,0.8719,3.1564,8976.7437,2065.7856,0.4441,Rance Ⅹ -決戦-,Rance X - Showdown,兰斯10 决战,Uta\nうた\nUta1\nThe One Being Sung\nThe One of Whom Legends Are Sung\nLegendsung,Rance Ⅹ -決戦- Rance X - Showdown 兰斯10 决战 Uta うた Uta1 The One Being Sung The One of Whom Legends Are Sung Legendsung,851,9.0100,9.0100,3
86,v92,6790,44.7208,0.6407,0.9613,5.6198,7332.7887,2189.5265,0.5709,マブラヴ　オルタネイティヴ,Muv-Luv Alternative,团子大家族,クラナド\n团子大家族,マブラヴ　オルタネイティヴ Muv-Luv Alternative 团子大家族 クラナド 团子大家族,10163,8.9900,8.9900,4
904,v2153,6216,33.6557,0.5615,0.9020,4.8760,7180.9417,2205.7931,0.4507,うみねこのなく頃に散,Umineko When They Cry - Answer Arcs,海猫鸣泣之时散,LB!\nリトバス！\nritobasu\n小小克星！\n校園剋星！\nLB-EX,うみねこのなく頃に散 Umineko When They Cry - Answer Arcs 海猫鸣泣之时散 LB! リトバス！ ritobasu 小小克星！ 校園剋星！ LB-EX,9286,8.9800,8.9800,5
874,v2016,6162,27.2149,0.5521,0.9163,4.6521,6432.4929,2551.5222,0.4889,装甲悪鬼村正,Full Metal Daemon Muramasa,装甲恶鬼村正,Yuki Hana -Kira-,装甲悪鬼村正 Full Metal Daemon Muramasa 装甲恶鬼村正 Yuki Hana -Kira-,4321,8.9500,8.9500,6
3966,v18717,5459,20.2061,0.6723,0.9696,4.0326,15334.6541,2069.6597,0.5516,うたわれるもの 二人の白皇,Utawarerumono: Mask of Truth,,Tsukihime: Blue Blue Glass Moon Under The Crimson Air\nMoon Princess,うたわれるもの 二人の白皇 Utawarerumono: Mask of Truth  Tsukihime: Blue Blue Glass Moon Under The Crimson Air Moon Princess,2591,8.9400,8.9400,7
6301,v30925,572,3.7867,0.4754,0.6696,1.7730,35770.4616,2009.1206,0.2336,大穢,,,,大穢   ,159,8.9100,8.9100,8
23,v24,6433,37.8875,0.6219,0.9353,5.2166,8193.7603,1880.5115,0.5057,うみねこのなく頃に,Umineko When They Cry - Question Arcs,海猫鸣泣之时,バイブルブラック,うみねこのなく頃に Umineko When They Cry - Question Arcs 海猫鸣泣之时 バイブルブラック,11701,8.8600,8.8600,9
3741,v17909,4053,13.7246,0.6179,0.8998,3.4141,11472.5805,2175.9816,0.4404,月姫 -A piece of blue glass moon-,TSUKIHIME -A piece of blue glass moon-,月姬 -A piece of blue glass moon-,ナルキッソス\nナルキ\n水仙,月姫 -A piece of blue glass moon- TSUKIHIME -A piece of blue glass moon- 月姬 -A piece of blue glass moon- ナルキッソス ナルキ 水仙,2012,8.8300,8.8300,10
