vid,appear
v1,4696
v2,5546
v3,8393
v4,9447
v5,8489
v6,1717
v7,8286
v8,2097
v9,7953
v10,7933
v11,10678
v12,6215
v13,4840
v14,8684
v15,2845
v16,1487
v17,8396
v18,1780
v19,1517
v20,5276
v21,4027
v22,4553
v23,3012
v24,7294
v25,1701
v26,4035
v27,250
v28,8608
v29,6286
v30,2815
v31,5060
v32,2024
v33,7636
v34,8382
v35,4821
v36,6065
v37,2496
v38,4947
v39,2575
v40,1291
v41,889
v42,791
v43,3816
v44,8488
v45,4444
v46,5997
v47,4748
v48,1013
v49,3813
v50,6417
v51,4387
v52,2363
v53,2374
v54,3581
v55,643
v56,1348
v57,8065
v58,1181
v59,590
v60,2203
v61,1208
v62,401
v63,666
v64,2550
v65,1060
v66,8089
v67,6823
v68,5835
v69,2809
v70,5261
v71,5174
v72,657
v73,3158
v74,5497
v75,594
v76,1645
v77,357
v78,1042
v79,1338
v80,1595
v82,4477
v83,3626
v84,5722
v85,1660
v86,2941
v87,5380
v88,6543
v89,810
v90,1991
v91,2037
v92,8370
v93,8542
v94,3931
v95,127
v96,3541
v97,11603
v98,2590
v99,4014
v100,2277
v101,3509
v102,4619
v103,4225
v104,64
v105,4000
v106,3253
v108,835
v109,3483
v110,2763
v111,4586
v112,2656
v113,2397
v114,7212
v115,3113
v116,3799
v117,3426
v118,4079
v119,3365
v120,2196
v121,1861
v122,1899
v123,4157
v124,1519
v125,1061
v126,3699
v127,2771
v128,2939
v129,3006
v130,3357
v131,1664
v132,3760
v133,4440
v134,3980
v135,5451
v136,3910
v137,3362
v138,5870
v139,1193
v140,2794
v141,3309
v142,2431
v143,2616
v144,211
v145,3381
v146,1208
v147,3525
v148,4061
v149,2937
v150,236
v151,3098
v152,1450
v153,4258
v154,5595
v155,5811
v156,6599
v157,5596
v158,4545
v159,1033
v160,1332
v161,401
v162,382
v163,1364
v164,457
v165,4226
v166,912
v167,2576
v169,2376
v172,1267
v173,723
v174,5707
v175,1364
v176,1683
v177,1716
v178,2101
v179,918
v180,3076
v181,1833
v182,3699
v183,6342
v184,2411
v185,1581
v186,70
v187,692
v188,1191
v189,687
v190,2018
v192,2260
v193,2146
v194,294
v195,5693
v196,685
v197,53
v198,845
v199,488
v200,1406
v201,4748
v202,3802
v203,284
v204,961
v205,1139
v206,2508
v207,1148
v208,19
v209,1290
v210,4552
v211,10710
v212,2695
v213,820
v214,910
v215,60
v216,7
v217,112
v218,707
v219,272
v220,86
v221,3908
v222,1673
v223,572
v224,636
v225,748
v226,5
v227,652
v228,741
v229,1135
v230,1802
v231,6483
v232,5785
v234,1709
v235,2441
v236,3930
v237,133
v238,5612
v239,1303
v240,1556
v241,3877
v242,1185
v243,937
v244,6
v245,2
v246,19
v247,1337
v248,3639
v249,439
v250,1789
v251,126
v252,1050
v253,25
v254,1128
v255,898
v256,2225
v257,1459
v258,2224
v259,46
v260,1
v261,2
v263,825
v264,7355
v265,9
v266,7031
v267,684
v268,1680
v269,563
v270,753
v271,1527
v272,1014
v273,1701
v274,6
v275,353
v276,792
v277,336
v278,3099
v280,63
v281,610
v282,1237
v283,854
v284,6015
v286,1487
v287,1426
v288,1202
v289,763
v290,500
v291,726
v292,1142
v293,508
v294,309
v295,1490
v296,434
v298,2412
v299,6005
v300,1593
v301,791
v302,80
v303,1227
v304,1895
v305,116
v306,2035
v307,623
v308,401
v309,4250
v310,2466
v311,6125
v312,7
v313,6
v314,498
v315,3213
v319,12
v320,657
v321,1037
v322,72
v323,1185
v324,3032
v325,395
v326,223
v327,288
v328,465
v329,165
v330,330
v331,5
v333,466
v334,2967
v335,920
v337,46
v338,740
v339,339
v340,24
v341,1174
v342,407
v343,144
v344,300
v345,1253
v346,2407
v347,477
v348,1630
v349,343
v352,1138
v353,135
v356,8
v358,684
v359,27
v360,3176
v361,318
v362,2147
v363,1090
v364,600
v365,73
v368,4
v369,7763
v370,4055
v372,1308
v373,121
v374,19
v375,35
v376,65
v377,27
v378,511
v379,856
v380,1
v382,7168
v383,330
v384,1996
v385,6
v387,115
v388,1120
v389,26
v390,261
v392,1
v394,499
v396,5341
v397,4520
v398,3203
v399,1131
v400,2727
v401,1051
v402,5
v403,1900
v404,1912
v405,3350
v406,122
v407,554
v408,144
v409,7
v410,31
v411,501
v412,1
v413,436
v414,7052
v415,6613
v416,4
v417,4776
v418,627
v419,189
v420,2683
v421,1428
v422,388
v423,2474
v424,2945
v425,203
v426,2110
v427,1031
v428,2498
v429,1281
v430,5228
v431,2135
v432,1909
v433,1882
v434,3070
v435,51
v436,6066
v438,518
v439,434
v440,1862
v441,488
v442,338
v443,1084
v444,253
v445,2110
v446,739
v448,95
v449,3133
v450,2253
v451,937
v452,955
v453,1548
v454,53
v455,335
v456,1261
v458,564
v459,18
v464,387
v466,1094
v467,898
v468,77
v469,398
v470,5356
v471,1798
v472,502
v473,3577
v476,4481
v477,4794
v478,675
v479,1439
v480,4
v481,3828
v483,1424
v484,24
v485,2
v487,8737
v488,37
v489,94
v490,1335
v491,1887
v492,2247
v493,203
v494,629
v495,2993
v496,4119
v497,2
v498,737
v499,546
v500,692
v501,91
v502,753
v503,70
v505,1301
v506,957
v507,2068
v508,815
v509,327
v511,1531
v512,1064
v513,207
v514,318
v515,7716
v516,13
v517,384
v518,20
v519,1094
v520,95
v521,539
v522,40
v523,45
v524,1016
v525,48
v527,3654
v528,1312
v529,306
v530,1210
v531,94
v532,2941
v533,51
v535,4
v536,741
