vid,titles,publishers
4,CLANNAD FULLVOICE|CLANNAD|CLANNAD AS全汉化补丁|家族 CLANNAD|CLANNAD 简体中文第四版“虹语”,Sekai Project|Key Fans Club|CG汉化组|光坂高校中文部|dwing
10,水仙3|水仙 如果还有明天 携带版|narcissu|Narcissu 10th Anniversary version for psvita|水仙十周年纪念版,Key Fans Club|风铃汉化组|阡陌|宅结界汉化组
11,Fate/stay night REMASTERED|Fate/Stay Night [Realta Nua] PC版简体汉化补丁Alpha 3|Fate/Stay Night|Fate/Stay Night for PSP 語音正式版,Beast's Lair / Lunacy|封魔夜君|株式会社アニプレックス|hewenxie|月海工房
17,Ever17|Ever17 -the out of infinity-|Ever17 简体中文解除加密及文字修正补丁|时空轮回,娱乐通|KIDS Fans Channel|gjy_管|dwing
33,雪之少女|Kanon - Download Edition|Kanon 简体中文第一版 -水濑 名雪-|Kanon 简体化增强补丁|Kanon 简体中文第三版 -水濑 名雪，美坂 栞，泽渡 真琴-|Kanon - Package Edition,株式会社プロトタイプ|Key Fans Club|株式会社ビジュアルアーツ|雪飘工作室|琉璃花色工作室|dwing
34,planetarian～星之梦＆雪圏球～|planetarian HD|planetarian～星之梦～|星之梦和片轮少女|星之梦|星之梦~planetarian~|星之梦 HD|星之梦携带版,株式会社プロトタイプ|Key Fans Club|株式会社ビジュアルアーツ|ACG汉化组|哔哩哔哩游戏|琉璃花色工作室|阡陌
36,AIR - Package Edition|AIR 外传 初空之章|鸟之诗|AIR|青空|AIR 简体中文增强精简版|AIR - Download Edition,株式会社プロトタイプ|Key Fans Club|株式会社ビジュアルアーツ|巴士汉化组|樱花飞舞的季节...|devseed|琉璃花色工作室|dwing
50,Fate/hollow ataraxia 语音项目 Alpha 4 [Nightly Build 460]|fate/hollow ataraxia|Fate/hollow ataraxia REMASTERED|Fate / hollow ataraxia,Beast's Lair / Lunacy|澄空学园|株式会社アニプレックス|月译社|月海工房
51,ONE～光辉的季节～,Key Fans Club|famille汉化组|有限会社アレス|Shiravune|Sep7
92,マブラヴ　オルタネイティヴ,Sekai Project|杏子御津爱护同好会|Komodo|aNCHOR Inc.
93,マブラヴ,Sekai Project|杏子御津爱护同好会|Komodo|aNCHOR Inc.
155,家族计划 Re：纺纱|家族计划～追忆～,家计推广委员会|月之滨汉化组|TOMO汉化组|家族计划推广同好会
264,D.C. ~Da Capo~ Re:tune Visuals Patch|D.C.P.C|D.C. ~Da Capo~ Re:tune - Package Edition|D.C. ~Da Capo~ Re:tune - Download Edition|D.C. ~Da Capo~ Re:tune - Censored Edition|D.C. ~Da Capo~ Re:tune - Nemu Edition Limited Edition|D.C. ~Da Capo~ Re:tune - Standard Edition|D.C. ~Da Capo~ Re:tune - Kotori Edition Limited Edition|D.C. ~Da Capo~ Re:tune - Sakura Edition Limited Edition,妹乃萌汉化组|GMH中文化委員會|神櫻中文化翻譯社|ブシロードゲームズ
515,Cartagra - Regular Edition|恋狱月狂病 FHD|恋狱～月狂病～|Cartagra - Download Edition|Cartagra - First Press Limited Edition,株式会社プロトタイプ|Farmer大家族|IG吧汉化组|不化之雪汉化组
556,新世纪福音战士：钢铁的女友|新世纪福音战士：钢铁的女朋友特别篇携带版|新世纪福音战士 钢铁女友 威力增强特别版,株式会社ガイナックス|CG汉化组|众心电子|天智方元
777,魔法使之夜 - Regular Edition|魔法使之夜 - Digital Deluxe Edition|魔法使之夜 下载版|魔法使之夜 for psvita|魔法使之夜|魔法使之夜 - Limited Edition|魔法使之夜 - First Press Limited Edition,澄空学园|A·T·Field汉化组|株式会社アニプレックス|Aniplex of America Inc.|阡陌
799,发明工坊之原点 ～Tristia:legacy～|发明工房1,工画堂スタジオ|苏帕尔莎汉化组|Komodo|Mayflower Entertainment
810,壳之少女 18禁DLC|壳之少女 for psvita|壳之少女 删减版|壳之少女,妹乃萌汉化组|大师♂罗莊|Shiravune|阡陌|Virgin in shell
1152,秋之回忆二重奏|告別回忆|Memories Off|秋之回忆,娱乐通|CK-GAL中文化小组|巴士汉化组|M-trix|株式会社スパイク・チュンソフト|新天地|KIDS Fans Channel|chen_xin_ming
1153,秋之回忆2 豪华版 / KID天使回忆版|秋之回忆2|告别回忆2nd|秋之回忆二重奏,娱乐通|CK-GAL中文化小组|株式会社スパイク・チュンソフト|新天地|KIDS Fans Channel|chen_xin_ming
1170,秋之回忆3|想君：秋之回忆|变成回忆的你～告别回忆～|秋之回忆3 想君,光譜資訊|CK-GAL中文化小组|CG汉化组|株式会社スパイク・チュンソフト|KIDS Fans Channel|devseed
1171,秋之回忆4ons|秋之回忆4 ～从今以后～|秋之回忆4 从今以后|秋之回忆：从今以后|告别回忆～从今以后～,CK-GAL中文化小组|CG汉化组|株式会社スパイク・チュンソフト|KIDS Fans Channel|devseed|光谱博硕
1173,秋之回忆4～从今以后again～|告别回忆 双想 ～Not always true～|秋之回忆4 从今以后 again|秋之回忆：从今以后～AGAIN 首发限定版|秋之回忆：从今以后～AGAIN|秋之回忆～从今以后 again～,娱乐通|MAGES.|CK-GAL中文化小组|KIDS Fans Channel
1284,秋之回忆二重奏|告別回忆|秋之回忆,娱乐通|株式会社スパイク・チュンソフト|新天地|chen_xin_ming
1299,428：被封锁的涩谷|428～被封锁的涩谷～|４２８ ～被封锁的涩谷～,扑家汉化组|KIDS Fans Channel|Play汉化组|东东
1325,秋之回忆#5：中断的胶片|告别回忆 #5 中断的胶片|秋之回忆5,娱乐通|CG汉化组|株式会社スパイク・チュンソフト|KIDS Fans Channel
1326,秋之回忆#5 安可|告别回忆 双想 ～Not always true～|秋之回忆5 安可|秋之回忆5：安可,娱乐通|MAGES.|CG汉化组|KIDS Fans Channel
1552,纯白交响曲 Remake for FHD|纯白交响曲 -Love is pure white- HD Remake|纯白交响曲|纯白交响曲 Remake for FHD 汉化补全补丁|纯白交响曲 -Love is pure white- HD Remake - Censored Version|纯白交响曲 -Love is pure white- HD Remake - 18+ Patch|纯白交响曲: *六出飞花|ましろ色シンフォニー -Love is pure white- Remake for FHD,妹乃萌汉化组|杏子御津爱护同好会|绿茶汉化组|Shiravune|纯白汉化组|GPT RE-BOOT!|熊喵守护协会
1646,告别回忆6 ～三角波澜～|秋之回忆6～T-wave～|Memories Off 6: T-Wave|秋之回忆6|秋之回忆6～T-Wave～|秋之回忆6~三角波澜~,娱乐通|MAGES.|株式会社スパイク・チュンソフト|KIDS Fans Channel|chen_xin_ming
2002,STEINS;GATE CN|命运石之门：精英|STEINS;GATE HD CN|命运石之门|STEINS;GATE RE:BOOT|命运石之门PSP|命运石之门STEAM完全汉化补丁|命运石之门HD,MAGES.|株式会社スパイク・チュンソフト|扑家汉化组|KIDS Fans Channel|株式会社MAGES.|科学社|WeTor|无节操汉化组
