vid,titles,publishers
4,家族 CLANNAD|CLANNAD AS全汉化补丁|CLANNAD|CLANNAD FULLVOICE|CLANNAD 简体中文第四版“虹语”,Key Fans Club|CG汉化组|光坂高校中文部|dwing
10,水仙3|narcissu|Narcissu 10th Anniversary version for psvita|水仙十周年纪念版|水仙 如果还有明天 携带版,Key Fans Club|风铃汉化组|阡陌|宅结界汉化组
11,Fate/Stay Night|Fate/Stay Night [Realta Nua] PC版简体汉化补丁Alpha 3|Fate/Stay Night for PSP 語音正式版,Beast's Lair / Lunacy|封魔夜君|hewenxie|月海工房
33,Kanon 简体中文第一版 -水濑 名雪-|Kanon 简体中文第三版 -水濑 名雪，美坂 栞，泽渡 真琴-|雪之少女|Kanon 简体化增强补丁,Key Fans Club|雪飘工作室|琉璃花色工作室|dwing
34,星之梦和片轮少女|planetarian～星之梦～|星之梦携带版|星之梦 HD|星之梦,Key Fans Club|ACG汉化组|琉璃花色工作室|阡陌
36,AIR|AIR 外传 初空之章|鸟之诗|AIR 简体中文增强精简版|青空,Key Fans Club|巴士汉化组|樱花飞舞的季节...|devseed|琉璃花色工作室|dwing
50,fate/hollow ataraxia|Fate / hollow ataraxia|Fate/hollow ataraxia 语音项目 Alpha 4 [Nightly Build 460],Beast's Lair / Lunacy|澄空学园|月译社|月海工房
155,家族计划 Re：纺纱|家族计划～追忆～,家计推广委员会|月之滨汉化组|TOMO汉化组|家族计划推广同好会
810,壳之少女|壳之少女 for psvita,妹乃萌汉化组|大师♂罗莊|阡陌|Virgin in shell
1152,秋之回忆,CK-GAL中文化小组|巴士汉化组|KIDS Fans Channel|chen_xin_ming
1170,想君：秋之回忆|秋之回忆3|秋之回忆3 想君,CK-GAL中文化小组|CG汉化组|KIDS Fans Channel|devseed
1171,秋之回忆4ons|秋之回忆4 ～从今以后～|秋之回忆4 从今以后,CK-GAL中文化小组|CG汉化组|KIDS Fans Channel|devseed
1299,４２８ ～被封锁的涩谷～|428～被封锁的涩谷～|428：被封锁的涩谷,扑家汉化组|KIDS Fans Channel|Play汉化组|东东
1552,纯白交响曲 Remake for FHD|纯白交响曲: *六出飞花|ましろ色シンフォニー -Love is pure white- Remake for FHD|纯白交响曲|纯白交响曲 Remake for FHD 汉化补全补丁,妹乃萌汉化组|杏子御津爱护同好会|绿茶汉化组|纯白汉化组|GPT RE-BOOT!|熊喵守护协会
2002,命运石之门HD|命运石之门PSP|命运石之门STEAM完全汉化补丁|命运石之门|命运石之门：精英,扑家汉化组|KIDS Fans Channel|科学社|WeTor|无节操汉化组
3770,穢翼的由丝蒂娅|秽翼的尤斯蒂娅,CK-GAL中文化小组|月桂琉璃汉化组|魔法少年えすか☆エムカ|枫笛汉化组
8038,美少女万华镜 -被诅咒之传说少女-|美少女万华镜1 步兵解码补丁|美少女万华镜 - 被诅咒之传说少女,冥月汉化组|风心の息|ruje0504|阡陌
8213,Dracu-riot!|DRACU-RIOT!,萌空汉化组|DR敢死队|柚子汉化部|废萌帝国|banhara
12849,苍之彼方的四重奏|蒼之彼方的四重奏 完备版|苍蓝彼端的四重奏 完备版,萌你妹汉化组|北见六花应援同好会|Team Myskrpatch|Graber|PikkaWorks
13711,航迹云的彼方,航迹云汉化组|绿茶汉化组|伊甸学院|航迹云同好会
18852,天津罪 萤HS汉化补丁|天津罪,绿茶汉化组|神代萤|iTsukezigen|白鹭园艺移植组
19182,美少女万华镜－罪与罚的少女－|美少女万华镜4 —罪与罚的少女—|美少女万华镜4 去码步兵补丁,萌你妹汉化组|脸肿汉化组|瑞树汉化组|风心の息
19595,星恋＊Twinkle|星恋*twinkle|星恋＊闪烁,城彩学园汉化组|心愿屋汉化组|落樱汉化组|小鳥遊 暁
20424,夏日口袋 流光蓝|Summer Pocket|Summer Pockets|Summer Pockets Reflection Blue,枫笛汉化组|夏日纯臻汉化组|琉璃花色工作室|WeTor|萌田薰子汉化组
22505,CHAOS;HEAD NOAH 汉化预览版补丁|混沌之脑：诺亚|《混沌之脑：诺亚》Steam/GoG 汉化补丁,风铃汉化组|科学社|Android Galgame 研究组|呕吐蛙汉化组
27057,美少女万華鏡 ー理と迷宮の少女ー|美少女万华镜 - 天道与迷宫的少女 -|美少女万华镜5 去码步兵补丁,萌你妹汉化组|弥生月汉化组|芸镜汉化组|风心の息
