vid,title_ja,title_zh,c_votecount,c_rating,cnt,char_names
3113,炎の孕ませおっぱい身体測定～幼なじみ女子校生身体測定で全員中出しパラダイス！～,,130,7.28,13,成咲紅葉;慶光院雪姫;リーゼロッタ・フォン・キルシュバウム;国武月衛;真下麗;桃枝絵留々;雛瀬ひかり;橘奈緒;萌木野花梨;和歌月あやめ;樫葉莉子;芹宮ののみ;瑞本まりな
31442,あんさんぶるガールズ！,,1,,13,三波なつみ;円城寺れいか;丸子みさき;鶯木こはる;夢路まりあ;梅園かな;桐島かいり;四方みつる;御影かすみ;八壁ひかる;久坂あやめ;天宮るり;神無月ほとり
8439,ずっとつくしてあげるの！,,40,6.8,7,羽深璃子;有留真央;向坂乙姫;八木原七海;尾张澪;南和奏;春日井桜
21122,みなとカーニバルＦＤ,,80,7.45,6,辻堂愛;片瀬恋奈;腰越マキ;武孝田よい子;朱足由比;ローリ・ネーデンショルト
6714,恋愛0キロメートル,恋爱0公里,266,7.06,6,木ノ本マヨ;木ノ本咲耶;木ノ本実咲;木ノ本乃来亜;木ノ本華;矢崎夕空
7659,黄昏の先にのぼる明日 -あっぷりけFanDisc-,,50,6.68,6,神凪莉都;夕月小夜璃;皆神さくや;春日いろは;稲垣美里;羽二生真央
3243,ド田舎ちゃんねる5～こちら鈴音学園放送部～,,10,6.23,5,神山美鈴;大和田幸;水鏡蓮;エレナ＝ハドソン;笹野希美子
13074,恋剣乙女～再燃～,,170,7.38,5,安国茜;神代透子;染谷柚;イヴ・エレイン・オースティン;湊志保
31125,思い出抱えてアイにコイ!!,怀揣思念同我再会!!,181,7.74,5,栗山兎鞠;州郷千聖;所沢郁;春ノ原優菜;西渓静流
9637,桜ノーリプライ,,44,6.99,5,風間眠兎;月森千代子;朝比奈苺;冴島もも;葉月美栗
7636,‘＆’ - 空の向こうで咲きますように -,‘＆’-愿绽放在天空彼岸-,166,7.48,5,春木麗;楠井梨子;連城八重;真堀束沙;穂之上摩樹
19817,ロスト・エコーズ,,41,6.9,5,立花結佳;神代琥珀;立花誾千代;神代千羽耶;筑紫加弥
16516,夢と色でできている,由梦想与色彩编织而成,150,7.56,5,飛鳥井姫色;黒羽かもめ;乙原恋;刻乃雲;七夕紫織
18005,つよきすFESTIVAL,,97,7.98,5,対馬心秤;刃牙音子;鉄乙女;近衛素奈緒;蟹沢きぬ
17997,わんにゃん☆アラモード！ ～どっちにするの？わんにゃんHなカフェ事情！～,,229,6.52,5,猫花鈴音;猫泊真琴;犬多華;猫条ひなな;犬山道代
4065,初恋タイムカプセル ～幼馴染とキャッキャうふふ～,,17,6.05,5,赤澤優菜;黄檗美桜;黒葛原舞花;緑野杏愛;白姫和葉
28,SHUFFLE!,,3946,6.74,5,リシアンサス;ネリネ;芙蓉楓;麻弓＝タイム;八重桜
33996,ゆまほろめ ~時を停めた館で明日を探す迷子たち~,真愿朦幻馆〜在时间暂停的洋馆里追寻明天的羔羊们〜,66,7.11,5,ミーナ;川崎純麗;岩沼鈴;柴田奏子;亘理深衣奈
276,D.C.P.K.～ダ・カーポーカー～,,36,6.44,4,白河ことり;天枷美春;月島小恋;白河ななか
10680,月に寄りそう乙女の作法,近月少女的礼仪,917,7.94,4,桜小路ルナ;柳ヶ瀬湊;ユルシュール＝フルール＝ジャンメール;花之宮瑞穂
10239,×××な彼女が田舎生活を満喫するヒミツの方法,,26,6.61,4,有栖川莉子;高梨舞;琥坂響希;山野辺ほたる
15282,パサージュ！～passage of life～,,66,6.89,4,北園奈菜;塚原梨沙;千代田未央;月見彩子
15368,Bunny Paradise ばにぱら ～恋人全員バニー化計画～,,62,7.06,4,一千花凜;宇佐見魅美;真鍋歌符香;蝶乃春
12283,辻堂さんのバージンロード,,337,7.85,4,辻堂愛;片瀬恋奈;腰越マキ;武孝田よい子
12525,シャッフル！エッセンス・プラス 特典ディスク,,45,7.17,4,リシアンサス;ネリネ;芙蓉楓;八重桜
10231,コープスパーティー -THE ANTHOLOGY- サチコの恋愛遊戯♥Hysteric Birthday 2U,,269,6.66,4,大上さやか;高井梓紗;古林蘭;水原さつき
10608,恋剣乙女,,1724,6.69,4,安国茜;神代透子;染谷柚;イヴ・エレイン・オースティン
16201,あま恋シロップス ～恥じらう恋心でシたくなる甘神様の恋祭り～,甘神大人的糖浆恋祭,85,7.18,4,綿貫つゆり;アナステシア・ローズ;花鳥鈴;日下穂積
3860,Angel Ring,,87,6.84,4,ミカアルステッドハイネ;藤井澄佳;遠海佐奈;ルキア・ルミナス・スイレン
27772,白詰指輪 ～四つ娘の花嫁 俺、全員選びました～,,128,7.25,4,花ノ宮芽一;花ノ宮二葉;花ノ宮美三実;花ノ宮四花
979,春恋＊乙女～乙女の園でごきげんよう。～,,689,6.58,4,早坂羽未;不動如耶;芹沢結衣佳;楠原彩夏
792,かみぱに！,,56,7.44,4,片瀬恵;霧島乃々香;香原瑞希;九条天音
933,ゴア・スクリーミング・ショウ,,1317,7.31,4,一柳あかね;双木葵;さいたま闇子;ユカ
547,あかね色に染まる坂,,262,7.38,4,長瀬湊;片桐優姫;橘ミコト;霧生つかさ
5000,ルートダブル -Before Crime * After Days-,Root Double,2135,7.84,4,琴乃悠里;橘風見;鳥羽ましろ;守部洵
2955,夏に奏でる僕らの詩,,15,7.08,4,大空真夏;姫宮ほのか;葉山歌音;御崎果歩
13325,Clover Day's,幸运草的约定,1127,7.63,4,加賀美ヘキル;加賀美ヒカル;結橋泉;竜胆つばめ
5562,恋色空模様 After Happiness and Extra Hearts,,108,7.44,4,服部彩;内海静奈;伊東美琴;毛内清美
2344,勝　あしたの雪之丞２,,35,7.36,4,久保晶子;水島あきら;桜瀬由美子;三枝マキ
6471,ユユカナ -under the Starlight-,,46,7.03,4,高咲ほのか;姫園理沙;遊々月あこ;楠久々寝
6245,真剣で私に恋しなさい！S,,4799,8.2,4,川神百代;川神一子;椎名京;榊原小雪
12668,夏の幼馴染と、冬のカノジョ,,40,6.99,4,花園かりん;厳正院玩鼓;叶野夢;寄忍由良利
18458,リプキス,,98,7.06,4,五ヶ谷奏撫;五ヶ谷羽耶音;双葉唯梨;立石まゆり
21295,トリノライン：ジェネシス,Trinoline: Genesis,153,6.91,4,姫野永遠;宮風夕梨;紬木沙羅;日比野綾花
20159,タンテイセブン,,54,6.7,4,海老一真珠;阿部摩り耶;露梨子かすみ;海老一辰砂
1336,ツンな彼女 デレな彼女,,44,6.69,4,橘美里;二ノ宮凪;紫藤凛彩;南月つぐみ
1353,ホシツグヨ,,8,6.6,4,高村ほのか;九龍明日羽;九龍美咲;日乃宮和奏
20424,Summer Pockets,Summer Pockets,4142,8.47,4,鳴瀬しろは;久島鴎;空門蒼;野村美希
20521,夏色ラムネ,夏色汽水,67,7.0,4,坂下弥生;小嶋美咲;山崎佳奈子;本庄優希
22045,かりぐらし恋愛,寄宿之恋,405,7.53,4,桜木橋理兎;荒波杏;新妻ひより;世計絢花
22014,約束の夏、まほろばの夢,,66,6.96,4,神宮りんか;東渚沙;一ノ瀬星里奈;風見陽鞠
19272,ユウワク スクランブル,,48,6.99,3,星見明日香;星見夕姫;星見美空
19223,シルヴァリオトリニティ,,104,8.18,3,レイン・ペルセフォネ;ミステル・バレンタイン;アヤ・キリガクレ
18907,見上げてごらん、夜空の星を FINE DAYS,,499,7.77,3,箒星ひかり;天ノ川沙夜;日下部ころな
33944,Final Dragon Chronicle: Guilty Requiem,,31,6.91,3,向坂環;柚原このみ;草壁優季
32132,アイキス３,,50,7.52,3,漆原莉子;三枝ヒナタ;三枝アヤメ
53486,廃村少女［弐］　～陰り誘う秘姫の匣～,,48,7.31,3,シンジュ;御汐陽渚;新沼鈴
53485,廃村少女 外伝 ～嬌絡夢現～,,54,7.04,3,エマ・A・薬師院;烏野つばめ;古戸由良々
49227,コイバナ恋愛 ミニファンディスク アフターフェスティバル,八卦恋爱 after festival,88,7.23,3,安達千依;夕暮常夜;遙叶梨
44098,俺の瞳で丸裸！不可知な未来と視透かす運命,我的眼睛看光光！不可知的未来与透视的命运,119,7.24,3,八重桜神愛;来栖光流;五影仄華
