idx,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,votes,avg,std,vid,collection,l1,l2,l3,l4,l5
0,9,18,40,66,122,144,102,68,23,15,607,5.796,1.840,v1,1527,73,581,72,70,483
1,9,10,20,69,115,198,365,535,273,165,1759,7.430,1.679,v2,4810,207,1671,225,133,2048
2,15,11,22,61,118,402,1015,2034,1083,429,5190,7.854,1.319,v3,12310,622,5291,595,204,4791
3,47,36,60,103,166,388,748,1889,2819,3697,9953,8.697,1.531,v4,19805,1695,7782,1348,404,7647
4,21,20,43,60,138,302,660,1762,2690,2475,8171,8.641,1.405,v5,19439,1811,9477,1479,436,5269
5,3,2,11,26,38,51,47,28,3,2,211,5.877,1.633,v6,11623,570,6379,588,186,3144
6,37,26,48,110,191,548,1428,2940,2724,1571,9623,8.174,1.433,v7,29585,3529,15991,2027,646,6113
7,0,3,6,16,36,89,109,52,23,6,340,6.612,1.429,v8,7301,278,2908,276,89,3294
8,10,20,33,67,140,343,454,352,194,123,1736,6.996,1.719,v9,16678,867,7580,967,387,5860
9,23,26,47,144,270,675,1374,1851,984,440,5834,7.520,1.518,v10,3846,228,623,241,116,2306
10,108,48,100,160,239,556,1368,3664,5216,4954,16413,8.594,1.503,v11,21856,1947,11780,1102,331,5733
11,15,23,40,92,134,267,569,764,466,240,2610,7.475,1.705,v12,3879,167,1374,174,80,1588
12,14,9,21,42,51,163,361,858,711,620,2850,8.241,1.534,v13,2407,121,959,95,108,786
13,91,110,173,245,373,652,902,710,368,260,3884,6.564,2.087,v14,995,31,131,56,30,582
14,3,14,11,31,40,106,139,133,44,13,534,6.717,1.710,v15,13808,521,7998,482,122,3851
15,0,0,0,0,4,14,17,10,4,1,50,6.980,1.140,v16,2582,114,769,116,61,1195
16,22,27,46,101,178,383,825,1809,2162,2313,7866,8.472,1.531,v17,6966,348,1969,368,142,3561
17,1,2,0,4,6,23,42,29,11,10,128,7.141,1.604,v18,532,11,188,11,16,217
18,0,1,1,6,15,31,65,58,34,25,236,7.479,1.528,v19,12150,631,5294,631,411,4388
19,2,2,13,18,41,135,236,318,119,52,936,7.392,1.428,v20,3244,212,1334,139,82,1084
20,0,5,7,9,19,52,71,110,38,22,333,7.246,1.631,v21,6151,334,3086,376,119,1778
21,5,6,8,19,41,92,172,216,105,48,712,7.347,1.619,v22,3470,81,2418,104,23,615
22,1,1,0,5,6,25,32,55,37,21,183,7.705,1.579,v23,2764,126,803,138,72,1282
23,74,29,73,102,141,318,663,1942,3244,4902,11488,8.858,1.496,v24,1028,23,494,18,22,293
24,1,1,1,1,0,6,11,26,9,2,58,7.448,1.663,v25,1176,13,638,15,26,280
25,2,3,4,11,20,77,105,168,121,47,558,7.642,1.534,v26,14382,689,6153,707,311,5661
26,20,43,75,165,309,724,1165,699,293,99,3592,6.752,1.581,v28,787,37,150,37,36,395
27,5,7,10,27,90,234,392,474,224,87,1550,7.376,1.456,v29,506,24,161,16,14,200
28,1,2,11,25,60,103,134,102,65,28,531,6.921,1.647,v30,12421,662,4073,792,487,5637
29,13,48,66,131,212,254,174,83,37,9,1027,5.570,1.770,v31,4580,260,2584,309,72,1004
30,1,1,5,5,10,28,51,41,15,9,166,7.024,1.621,v32,3700,170,1439,173,97,1379
31,7,14,18,68,109,368,807,1242,698,327,3658,7.723,1.419,v33,200,7,78,4,11,46
32,14,14,35,101,188,603,1445,2609,1693,759,7461,7.897,1.364,v34,3003,139,951,148,69,1400
33,5,10,14,40,88,202,258,176,69,17,879,6.694,1.542,v35,830,32,312,26,24,321
34,9,11,23,52,62,224,446,737,472,292,2328,7.795,1.563,v36,17929,866,10138,599,187,5203
35,5,2,3,5,8,36,55,120,93,43,370,7.854,1.644,v37,18593,1211,10318,856,265,5111
36,5,3,11,32,46,123,279,701,595,321,2116,8.160,1.400,v38,30170,1144,20527,867,459,5948
37,2,5,4,15,37,76,104,48,18,12,321,6.601,1.576,v39,2292,102,191,85,20,1560
38,1,8,10,20,24,47,40,19,6,1,176,5.824,1.731,v40,2537,153,431,146,73,1431
39,1,4,8,17,9,8,5,4,1,3,60,5.000,2.066,v41,3778,140,1632,129,50,1435
40,3,2,4,10,10,8,6,3,2,2,50,5.220,2.147,v42,1751,107,506,89,101,679
41,12,33,59,90,129,199,106,57,30,13,728,5.566,1.862,v43,4542,208,1847,202,145,1656
42,16,31,68,157,302,727,1352,1557,876,340,5426,7.369,1.558,v44,3588,278,1646,201,78,1066
43,2,4,8,6,19,51,127,257,186,72,732,7.921,1.436,v45,1414,78,480,107,89,469
44,4,12,29,67,136,308,344,248,122,44,1314,6.728,1.608,v46,2678,149,870,174,104,1122
45,7,18,26,65,133,381,821,978,382,145,2956,7.372,1.427,v47,6931,227,2438,203,98,3480
46,0,2,1,2,12,29,52,33,10,8,149,7.027,1.433,v48,264,10,115,5,8,57
47,5,11,20,64,218,485,737,298,77,43,1958,6.644,1.328,v49,22143,1494,10915,1340,578,6938
48,8,13,31,60,102,296,753,1593,1224,813,4893,8.137,1.418,v50,6908,474,1623,440,190,3679
49,5,7,19,43,65,167,253,202,103,46,910,6.977,1.658,v51,4180,255,1154,270,219,1846
50,2,5,14,29,51,108,156,96,47,15,523,6.704,1.617,v52,5811,334,2063,341,189,2339
51,18,40,40,46,112,132,120,42,42,32,624,5.814,2.157,v53,12750,757,5809,785,429,4322
52,4,8,14,35,63,92,109,74,33,8,440,6.366,1.737,v54,7260,427,2519,490,248,3031
