idx,vid,total,percentage,simple,weighted_simple,pagerank,elo,entropy,pid,p_name,alias,c_votecount,c_rating,c_average,title_ja,title_en,title_zh,search,rank
873,v2002,52.751,0.747,0.985,5.977,11015.002,1960.727,0.659,,,シュタインズ・ゲート\nシュタゲ\nS;G\nScience Adventure Series #2\nShutage\n斯坦因之门\n石头门,14407,9.010,9.010,STEINS;GATE,Steins;Gate,命运石之门,steinsgatesteinsgate命运石之门シュタインズ・ゲートnシュタゲnsgnscienceadventureseries2nshutagen斯坦因之门n石头门,1
1879,v7771,24.530,0.645,0.958,4.590,8672.526,2595.655,0.570,,,ホワイトアルバム2\nWA2,3462,9.010,9.010,WHITE ALBUM2,,白色相簿2,whitealbum2白色相簿2ホワイトアルバム2nwa2,2
4598,v20802,10.319,0.537,0.872,3.156,8976.744,2065.786,0.444,,,ランス10－決戦－\nRance 10 -Kessen-\nR10,851,9.010,9.010,Rance Ⅹ -決戦-,Rance X - Showdown,兰斯10 决战,rance決戦rancexshowdown兰斯10决战ランス10決戦nrance10kessennr10,3
86,v92,44.721,0.641,0.961,5.620,7332.789,2189.526,0.571,,,MLA\nMuvluv Alternative,10163,8.990,8.990,マブラヴ　オルタネイティヴ,Muv-Luv Alternative,Muv-Luv Alternative,マブラヴオルタネイティヴmuvluvalternativemuvluvalternativemlanmuvluvalternative,4
904,v2153,33.656,0.561,0.902,4.876,7180.942,2205.793,0.451,,,When They Cry 4\nWhen the Seagulls Cry Breakdown,9286,8.980,8.980,うみねこのなく頃に散,Umineko When They Cry - Answer Arcs,海猫鸣泣之时散,うみねこのなく頃に散uminekowhentheycryanswerarcs海猫鸣泣之时散whentheycry4nwhentheseagullscrybreakdown,5
874,v2016,27.215,0.552,0.916,4.652,6432.493,2551.522,0.489,,,FMD Muramasa\nArmored Demon Muramasa,4321,8.950,8.950,装甲悪鬼村正,Full Metal Daemon Muramasa,装甲恶鬼村正,装甲悪鬼村正fullmetaldaemonmuramasa装甲恶鬼村正fmdmuramasanarmoreddemonmuramasa,6
3966,v18717,20.206,0.672,0.970,4.033,15334.654,2069.660,0.552,,,Utawarerumono 3\n传颂之物 二人的白皇\nUta3,2591,8.940,8.940,うたわれるもの 二人の白皇,Utawarerumono: Mask of Truth,传颂之物 二人的白皇,うたわれるもの二人の白皇utawarerumonomaskoftruth传颂之物二人的白皇utawarerumono3n传颂之物二人的白皇nuta3,7
6301,v30925,3.787,0.475,0.670,1.773,35770.462,2009.121,0.234,,,Owen,159,8.910,8.910,大穢,,,大穢owen,8
23,v24,37.888,0.622,0.935,5.217,8193.760,1880.512,0.506,,,When They Cry 3\nWhen The Seagulls Cry,11701,8.860,8.860,うみねこのなく頃に,Umineko When They Cry - Question Arcs,海猫鸣泣之时,うみねこのなく頃にuminekowhentheycryquestionarcs海猫鸣泣之时whentheycry3nwhentheseagullscry,9
3741,v17909,13.725,0.618,0.900,3.414,11472.581,2175.982,0.440,,,Tsukihime Remake\nTsukihime Rebirth\ntsukire\n月姫R\n月姬R,2012,8.830,8.830,月姫 -A piece of blue glass moon-,TSUKIHIME -A piece of blue glass moon-,月姬 -A piece of blue glass moon-,月姫apieceofblueglassmoontsukihimeapieceofblueglassmoon月姬apieceofblueglassmoontsukihimeremakentsukihimerebirthntsukiren月姫rn月姬r,10
2644,v12402,28.099,0.668,0.959,4.673,10743.881,2164.632,0.554,,,ファタモル\nFata Moru,6059,8.820,8.820,ファタモルガーナの館,The House in Fata Morgana,海市蜃楼之馆,ファタモルガーナの館thehouseinfatamorgana海市蜃楼之馆ファタモルnfatamoru,11
66,v68,28.625,0.665,0.944,4.612,11083.777,2044.665,0.512,,,When They Cry 2\nHigu2\n暮蟬悲鳴時解\n寒蟬鳴泣之時解,6535,8.800,8.800,ひぐらしのなく頃に解,Higurashi When They Cry - Answer Arcs,寒蝉鸣泣之时解,ひぐらしのなく頃に解higurashiwhentheycryanswerarcs寒蝉鸣泣之时解whentheycry2nhigu2n暮蟬悲鳴時解n寒蟬鳴泣之時解,12
1208,v3660,4.674,0.481,0.756,2.161,25288.720,2360.444,0.272,,,Theological Seminary,259,8.750,8.750,神学校-Noli me tangere-,,,神学校nolimetangeretheologicalseminary,13
